Incident_ID,Weapon_Type,City,State
20220511FLJAJ,unknown,Jacksonville,FL
20220509NYEDS,Handgun,Staten Island,NY
20220509GARIS,Handgun,Suwanee,GA
20220505OHLOL,Handgun,Lowellville,OH
20220505ALDOD,Other,Dothan,AL
20220503CAARS,unknown,San Bernardino,CA
20220501VALOM,Handgun,Manassas,VA
20220501OHHAC,Handgun,Columbus,OH
20220430PAMCJ,Handgun,Jeannette City,PA
20220427TXMOS,Handgun,San Antonio,TX
20220427INCOS,Other,South Bend,IN
20220426MIASI,Handgun,Ishpeming Township,MI
20220426GASOM,Handgun,Macon,GA
20220426GASOM,Other,Macon,GA
20220425WIWIM,Multiple Handguns,Milwaukee,WI
20220424MOHAF,Handgun,Florissant,MO
20220422ORHOS,Handgun,Salem,OR
20220422DCEDW,Multiple Rifles,Washington,DC
20220422DCEDW,Multiple Handguns,Washington,DC
20220422CAMOR,Rifle,Redding,CA
20220421NDMOM,Handgun,Mott,ND
20220416IAMED,Handgun,Des Moines,IA
20220415VAGAW,Handgun,Woodbridge,VA
20220414MSNEP,Other,Philadelphia,MS
20220413MISHS,Other,Southgate,MI
20220411ARPIP,Handgun,Pine Bluff,AR
20220410MALYL,Handgun,Lynn,MA
20220406WVRIR,Handgun,Ripley,WV
20220406WASTM,Other,Mercer Island,WA
20220406ORROP,Handgun,Portland,OR
20220405PAERE,Handgun,Erie,PA
20220403INBLB,Multiple Handguns,Bloomington,IN
20220331PAACP,Handgun,Philadelphia,PA
20220330GABOA,Handgun,Atlanta,GA
20220330AZKIK,Handgun,Kingman,AZ
20220329VALUR,Handgun,Roanoke,VA
20220329NVWEL,Handgun,Las Vegas,NV
20220328TXNOF,Handgun,Fort Worth,TX
20220328NCOAC,Handgun,Charlotte,NC
20220325UTHIS,Handgun,Salt Lake City,UT
20220325UTHIS,Other,Salt Lake City,UT
20220325TXROR,Other,Royse City,TX
20220325TNBRM,Handgun,Memphis,TN
20220324VARIW,Multiple Rifles,Woodbridge,VA
20220322VAJAR,Handgun,Roanoke,VA
20220322TXWOD,Handgun,Dallas,TX
20220322FLNEN,Other,New Smyrna Beach,FL
20220321MSLEP,unknown,Pascagoula,MS
20220321MIMAK,Handgun,Kenosha,WI
20220321AZDES,Handgun,Scottsdale,AZ
20220319ALCEL,Handgun,Loxley,AL
20220318RICEP,Other,Providence,RI
20220318ILBAB,Other,Barrington,IL
20220317AKREW,Handgun,Wasilla,AK
20220316CALOR,Handgun,Riverside,CA
20220315WAEIY,Multiple Handguns,Yakima,WA
20220315MDPAB,Handgun,Baltimore,MD
20220315MATEB,Multiple Handguns,Boston,MA
20220315GAFOF,Handgun,Forest Park,GA
20220314CAKRP,Handgun,Placentia,CA
20220313PANEP,unknown,Philadelphia,PA
20220313PANEP,unknown,Philadelphia,PA
20220311WIJER,Handgun,Racine,WI
20220311OHMAM,unknown,Mansfield,OH
20220311OHFAP,Handgun,Proctorville,OH
20220311CADER,Handgun,Richmond,CA
20220310TNHAM,Handgun,Memphis,TN
20220310MDCOL,Handgun,Landover,MD
20220310COROH,Other,Highlands Ranch,CO
20220309TXNOH,Handgun,Houston,TX
20220309NMESE,Other,Espanola,NM
20220309FLNOM,Handgun,Miami Gardens,FL
20220309FLNOM,Rifle,Miami Gardens,FL
20220307IAEAD,Multiple Handguns,Des Moines,IA
20220304KSOLO,Handgun,Olathe,KS
20220303MIJWL,Handgun,Lansing,MI
20220228NYBOB,Handgun,Brooklyn,NY
20220227DCDUW,Handgun,Washington,DC
20220225NMWEA,Handgun,Albuquerque,NM
20220225ALSOH,Handgun,Huntsville,AL
20220223VAWOW,Handgun,Woodbridge,VA
20220222TXALH,Handgun,Houston,TX
20220222COLIP,Handgun,Pueblo,CO
20220221MDJOH,Handgun,Hyattsville,MD
20220220OKWIW,Handgun,Wilson,OK
20220220MSMCM,unknown,McColm,MS
20220219VACAC,unknown,Chesapeake,VA
20220218MATET,Other,Tewksbury,MA
20220217WAMCG,Handgun,Grandview,WA
20220214FLLAL,Handgun,Lake City,FL
20220211DCEAW,Handgun,Washington,DC
20220209NYMCB,Handgun,Buffalo,NY
20220209MNMIM,unknown,Minneapolis,MN
20220208NYMOM,Handgun,Mount Vernon,NY
20220208MDCAC,Handgun,Catonsville,MD
20220204GASOD,Handgun,Decatur,GA
20220204ALWEB,Handgun,Birmingham,AL
20220203NCSPS,unknown,Stantonsburg,NC
20220202KYLOR,unknown,Russellville,KY
20220201WIRUM,Handgun,Milwaukee,WI
20220201WIRUM,Handgun,Milwaukee,WI
20220201MNSOR,unknown,Richfield,MN
20220201ILALC,Handgun,Chicago,IL
20220129WIBEB,Handgun,Beloit,WI
20220128LACAM,Handgun,Monroe,LA
20220127TXMOH,Handgun,Houston,TX
20220126PABAP,Handgun,Philadelphia,PA
20220124NVSUL,unknown,Las Vegas,NV
20220121MDMAR,Handgun,Rockville,MD
20220121GAMCA,unknown,Atlanta,GA
20220119VAMAP,Handgun,Portsmouth,VA
20220119VAMAP,Handgun,Portsmouth,VA
20220119FLSES,Handgun,Sanford,FL
20220119DCANW,Handgun,Washington,DC
20220117TXPYH,Multiple Handguns,Houston,TX
20220114MDGAG,Rifle,Gaithersburg,MD
20220111NMVAA,unknown,Albuquerque,NM
20220106CAFLS,Handgun,Sacramento,CA
20220104ILAUR,Multiple Handguns,Rockford,IL
20220103WACHP,Handgun,Portland,OR
20220103OHCOC,unknown,Columbus,OH
20211229NCCAS,Handgun,Salisbury,NC
20211217TXWOD,Other,Dayton,TX
20211216SCEAC,Handgun,Columbia,SC
20211216NYPSB,Handgun,Brooklyn,NY
20211214WISOM,Handgun,Milwaukee,WI
20211214VAMEN,Handgun,Newport News,VA
20211213NCWEC,Handgun,Charlotte,NC
20211213FLEAO,Handgun,Orlando,FL
20211212NYSCR,Handgun,Rochester,NY
20211211GAJOG,Handgun,Gray,GA
20211211FLEDL,Handgun,LaBelle,FL
20211210OHCAC,Handgun,Canal Winchester,OH
20211210NCJEC,unknown,China Grove,NC
20211209NYGRN,Handgun,New York,NY
20211208MOEWK,Handgun,Kansas City,MO
20211208KYSTL,unknown,Louisville,KY
20211207ILHAC,Handgun,Chicago,IL
20211206NYSUS,Handgun,Staten Island,NY
20211206CAWIW,Multiple Rifles,Wilmington,CA
20211203ARBLB,Handgun,Blytheville,AR
20211202WAGAS,Handgun,Seattle,WA
20211201TXSAP,Handgun,Pasadena,TX
20211130TNHUH,Handgun,Humboldt,TN
20211130MIOXO,Handgun,Oxford,MI
20211130CALOL,Other,Los Angeles,CA
20211129ILWER,Handgun,Rockford,IL
20211129AZCHP,Handgun,Phoenix,AZ
20211126CAWES,Handgun,San Jose,CA
20211125SCCEP,unknown,Pageland,SC
20211124ILTHH,unknown,Harvey,IL
20211123OHCLC,Handgun,Cleveland,OH
20211119MDGIB,unknown,Baltimore,MD
20211119COHIA,Multiple Handguns,Aurora,CO
20211116NYPSB,Handgun,Bronx,NY
20211116FLJAJ,unknown,Jacksonville,FL
20211115NYPOP,Handgun,Poughkeepsie,NY
20211110NYITI,unknown,Ithaca,NY
20211109NMMEL,Handgun,Las Cruces,NM
20211108NYTHB,Handgun,Bronx,NY
20211106FLOVO,Handgun,Oviedo,FL
20211102NMHIH,Other,Hobbs,NM
20211030PASTM,Handgun,McKees Rock,PA
20211027SCCAS,Handgun,St. Matthews,SC
20211026MSCAN,Shotgun,Natchez,MS
20211026ILWIC,Handgun,Chicago,IL
20211022PAPHP,Handgun,Philadelphia,PA
20211021NYPSB,Handgun,Bronx,NY
20211021GABES,unknown,Savannah,GA
20211018PALIP,Handgun,Philadelphia,PA
20211017ARROR,Rifle,Rogers,AR
20211015CAKEF,Handgun,Fresno,CA
20211015ALWIM,Handgun,Mobile,AL
20211014MEREP,unknown,Portland,ME
20211013PACHD,Other,Drexel Hill,PA
20211013ILMCC,unknown,Chicago,IL
20211012OKUNT,Other,Tulsa,OK
20211012MIELK,Handgun,Kalamazoo,MI
20211012ILWEC,Handgun,Chicago,IL
20211012ARLIL,unknown,Little Rock,AR
20211011ORROP,Handgun,Portland,OR
20211008OKCOC,unknown,Comanche,OK
20211007TXEAW,Rifle,Winnie,TX
20211007PAANP,unknown,Philadelphia,PA
20211007NCEAD,Handgun,Durham,NC
20211007DCWAW,Handgun,Washington,DC
20211006TXTIA,Handgun,Arlington,TX
20211005NDHEH,Handgun,Hettinger,ND
20211005NCGAC,Handgun,Charlotte,NC
20211004PASCP,Handgun,Philadelphia,PA
20211004PASCP,Rifle,Philadelphia,PA
20211004OHWOT,Handgun,Toledo,OH
20211004ILLAC,Handgun,Chicago,IL
20211001TXYEH,Rifle,Houston,TX
20211001NJCHC,Handgun,Cherry Hill,NJ
20211001NCSEF,Handgun,Fayetteville,NC
20211001NCNOD,Handgun,Durham,NC
20211001INBEI,Handgun,Indianapolis,IN
20210930TNCUM,Handgun,Memphis,TN
20210930MSNEN,Handgun,Newton,MS
20210929OHSHS,Handgun,Shaker Heights,OH
20210928MESOS,Handgun,South Portland,ME
20210927ILCAC,Other,Crystal Lake,IL
20210924VAESE,Handgun,Essex,VA
20210924TNSTS,Handgun,Smyrna,FL
20210924TNSTS,Rifle,Smyrna,FL
20210924MDWIB,Handgun,Baltimore,MD
20210924ALFAF,unknown,Fairfield,AL
20210923IDRIR,Handgun,Rigby,ID
20210922NYSOB,Handgun,Brooklyn,NY
20210922CTLIN,unknown,New Haven,CT
20210921PAVAP,Handgun,Philadelphia,PA
20210921OHMIM,Other,Middletown,OH
20210921KSEAW,Handgun,Wichita,KS
20210921GAFRA,Handgun,Atlanta,GA
20210921FLLAL,Other,Lake Asbury,FL
20210920VAHEN,Handgun,Newport News,VA
20210920OHEAC,Multiple Handguns,Cleveland,OH
20210920OHEAC,Handgun,Cleveland,OH
20210918COWIC,Handgun,Colorado Springs,CO
20210917VAHEH,Handgun,Henrico,VA
20210917TNAUK,Handgun,Knoxville,TN
20210917PAWEP,Handgun,Philadelphia,PA
20210917NCPAW,Handgun,Winston-Salem,NC
20210917GASWS,Handgun,Swainsboro,GA
20210916WIORM,Handgun,Madison,WI
20210916UTPRP,Other,Provo,UT
20210915VASPS,Other,Springfield,VA
20210915KYMAL,Handgun,Lexington,KY
